Zone,Code zone,Année,Population,Evolution population (%),Dispo. Alim. (Kcal/personne),Dispo. Prot. (g/personne),Prot. Animales/Prot. Totales dispo (%),Cluster,Clusterkm,Croissance annuelle PIB US$ (%),PIB Total US$ (Millions),Nombre de têtes réserves volailles,Moyenne prix conso alim ($/mois),Imports viandes / hbts (kg/personne/an),Imports viande volaille / hbts (kg/personne/an),Import volailles / imports viandes (%),Conso volailles 2017 (kg/hbt/an),Evo conso volailles 2015-2017 (%),Elevage volailles / hbts (kg/personne/an),Cluster6,H1,H2,Clusterkm5,F1,F2,F3,F4
Tadjikistan,208,2017,8880268.0,5.042,767960.0,20217.35,24.281999999999996,1,0,2.950364,7157.830305,5217000.0,168.75511,4.391759347803467,4.2791501337572235,97.43589743589745,4.45,3.73,0.20269658528323692,1,False,False,1,-1.7128665622716017,-1.1406748781056226,-0.815613975623561,0.11908871676067939
Eswatini,209,2017,1124805.0,1.88,877825.0,22381.8,29.534000000000002,2,3,15.764387,4446.225564,3795000.0,174.21020983333335,7.112343917390126,1.7780859793475314,25.0,6.46,-3.438,5.3555949697947645,2,True,False,2,-0.196919063835393,1.4820934734406201,-0.5707230259045621,-0.8499219498778223
République-Unie de Tanzanie,215,2017,54660339.00000001,6.1720000000000015,874540.0,21819.7,15.624,1,0,7.226097999999999,54724.04197100001,38850000.0,113.28643095596665,0.0731792021999717,0.03658960109998585,50.0,1.88,0.0,1.8263882337063442,3,True,False,1,-1.3153216171847795,0.2960366962850041,0.12706637589617678,1.3724128299406686
Togo,217,2017,7698474.0,5.125,886585.0,20921.8,16.05,1,0,3.224015,4631.639952,26800000.0,108.52242316666668,2.208229838796624,2.0783339659262343,94.11764705882351,7.06,4.13,4.5180382501778915,1,False,False,1,-1.086167894086969,-0.5304320704244276,-0.37193092728852734,1.3328385901550939
Oman,221,2017,4665928.0,9.34,1069815.0,31076.1,49.565,2,0,12.29315,79276.747592,4817000.0,110.14964825,35.362740273746184,27.00427439086073,76.36363636363637,21.63,-3.952,1.3920060489574635,6,False,True,3,3.4838186413162506,-2.860249139754196,3.0254932961303758,0.08936446295495748
Ouganda,226,2017,41166587.99999999,7.694,782560.0,19107.75,20.783,1,0,7.019466,27208.082675,36419000.0,192.01187091666668,0.024291544395177958,5.003144182410275,53.861552692864954,1.52,2.013,1.6522865582156094,2,True,False,1,-1.9697194333283312,-0.6489787108572257,-0.17141370811164713,-0.19013358957674678
Burkina Faso,233,2017,19193234.0,5.978,992800.0,27787.45,14.37,1,0,10.508578,14169.989423,43064000.0,113.83415008333333,7.0277516178480255,5.003144182410275,53.861552692864954,2.27,-7.724,2.504684723793812,3,True,False,2,-0.12012952993956567,0.20998325450592306,1.5600874050606783,1.7402093420830798
Éthiopie,238,2017,106399924.0,5.518,840960.0,23962.250000000004,8.911,1,0,6.41253,76784.78438,59158000.0,267.19403825,0.0187970059076358,0.0093985029538179,50.0,0.13,8.333,0.6685061166021133,2,True,False,1,-2.2886927813669136,0.7486251478488025,0.43365097073409425,-0.5288687893965885
Yémen,249,2017,27834819.0,5.045,752995.0,19428.95,20.026,1,0,-2.386834,24152.03881,65000000.0,149.30127394021127,2.8022456334276864,2.8022456334276864,100.0,8.53,-4.265,6.1038298829965445,1,False,False,1,-1.4167205118426054,-1.2446030507462849,-1.7390617618371378,0.8803850314715435
Zambie,251,2017,16853599.0,6.135,734745.0,21567.85,19.783,1,0,20.582405,25868.138215,40371000.0,193.90583333333333,0.712014092657598,0.712014092657598,100.0,3.42,5.231,2.8878698253114963,2,True,False,1,-2.3255467483832684,-0.6988791111758055,0.6339604241184202,-1.1443923904523654
