Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","52","Azerbaïdjan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","58.92","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","52","Azerbaïdjan","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","507","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","30.11","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","52","Azerbaïdjan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","37.85","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","12","Bahamas","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2043","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","12","Bahamas","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","61.47","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","12","Bahamas","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","71.7","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","12","Bahamas","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","604","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","12","Bahamas","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","42.01","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","12","Bahamas","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","43.35","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","16","Bangladesh","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2596","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","16","Bangladesh","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","60.28","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","16","Bangladesh","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","33.95","Fc","Donnée calculée"
