Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","114","Kenya","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","50221.142","X","International reliable sources",""
"OA","Annual population","83","Kiribati","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","114.158","X","International reliable sources",""
"OA","Annual population","118","Kuwait","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","4056.099","X","International reliable sources",""
"OA","Annual population","113","Kyrgyzstan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","6189.733","X","International reliable sources",""
"OA","Annual population","120","Lao People's Democratic Republic","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","6953.035","X","International reliable sources",""
"OA","Annual population","119","Latvia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","1951.097","X","International reliable sources",""
"OA","Annual population","121","Lebanon","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","6819.373","X","International reliable sources",""
"OA","Annual population","122","Lesotho","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","2091.534","X","International reliable sources",""
"OA","Annual population","123","Liberia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","4702.226","X","International reliable sources",""
"OA","Annual population","124","Libya","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","6580.724","X","International reliable sources",""
"OA","Annual population","125","Liechtenstein","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","37.8","X","International reliable sources",""
"OA","Annual population","126","Lithuania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","2845.414","X","International reliable sources",""
"OA","Annual population","256","Luxembourg","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","591.91","X","International reliable sources",""
"OA","Annual population","129","Madagascar","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","25570.512","X","International reliable sources",""
"OA","Annual population","130","Malawi","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","17670.196","X","International reliable sources",""
"OA","Annual population","131","Malaysia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","31104.646","X","International reliable sources",""
"OA","Annual population","132","Maldives","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","496.402","X","International reliable sources",""
"OA","Annual population","133","Mali","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","18512.43","X","International reliable sources",""
"OA","Annual population","134","Malta","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","437.933","X","International reliable sources",""
"OA","Annual population","127","Marshall Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","58.058","X","International reliable sources",""
"OA","Annual population","135","Martinique","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","375.948","X","International reliable sources",""
"OA","Annual population","136","Mauritania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","4282.57","X","International reliable sources",""
"OA","Annual population","137","Mauritius","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","1264.499","X","International reliable sources",""
"OA","Annual population","270","Mayotte","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","252.957","X","International reliable sources",""
"OA","Annual population","138","Mexico","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","124777.324","X","International reliable sources",""
"OA","Annual population","145","Micronesia (Federated States of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","111.459","X","International reliable sources",""
"OA","Annual population","140","Monaco","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","38.392","X","International reliable sources",""
"OA","Annual population","141","Mongolia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","3113.786","X","International reliable sources",""
"OA","Annual population","273","Montenegro","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","627.563","X","International reliable sources",""
"OA","Annual population","142","Montserrat","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","4.984","X","International reliable sources",""
"OA","Annual population","143","Morocco","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","35581.255","X","International reliable sources",""
"OA","Annual population","144","Mozambique","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","28649.018","X","International reliable sources",""
"OA","Annual population","28","Myanmar","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","53382.523","X","International reliable sources",""
"OA","Annual population","147","Namibia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","2402.633","X","International reliable sources",""
"OA","Annual population","148","Nauru","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","10.573","X","International reliable sources",""
"OA","Annual population","149","Nepal","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","27632.681","X","International reliable sources",""
"OA","Annual population","150","Netherlands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","17021.347","X","International reliable sources",""
"OA","Annual population","151","Netherlands Antilles (former)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","275.186","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","153","New Caledonia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","277.15","X","International reliable sources",""
"OA","Annual population","156","New Zealand","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","4702.034","X","International reliable sources",""
"OA","Annual population","157","Nicaragua","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","6384.846","X","International reliable sources",""
"OA","Annual population","158","Niger","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","21602.382","X","International reliable sources",""
"OA","Annual population","159","Nigeria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","190873.244","X","International reliable sources",""
"OA","Annual population","160","Niue","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","1.609","X","International reliable sources",""
"OA","Annual population","154","North Macedonia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","2081.996","X","International reliable sources",""
"OA","Annual population","163","Northern Mariana Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","56.562","X","International reliable sources",""
