Zone,Code zone,Année,Population,Evolution population (%),Dispo. Alim. (Kcal/personne),Dispo. Prot. (g/personne),Prot. Animales/Prot. Totales dispo (%),Cluster,Clusterkm,Croissance annuelle PIB US$ (%),PIB Total US$ (Millions),Nombre de têtes réserves volailles,Moyenne prix conso alim ($/mois),Imports viandes / hbts (kg/personne/an),Imports viande volaille / hbts (kg/personne/an),Import volailles / imports viandes (%),Conso volailles 2017 (kg/hbt/an),Evo conso volailles 2015-2017 (%),Elevage volailles / hbts (kg/personne/an)
Sénégal,195,2017,15419355.0,5.768,953380.0,22126.3,21.462,1,0,9.977013000000001,20939.966699,51383000.0,118.72537449999999,0.38912133484182704,5.003144182410275,53.86155269286495,4.76,6.966,4.18843719468162
Sierra Leone,197,2017,7488423.000000001,4.413,893885.0,20323.2,23.851,2,0,-3.201634,3739.051196,13600000.0,185.28630566666666,2.537249832174277,1.8695525079178885,73.68421052631578,3.97,-14.069,2.0431538122245496
Suriname,207,2017,570496.0,2.03,982945.0,21994.9,40.989,2,3,2.589448,3210.020005,6423000.0,253.44072766666667,36.81007404083464,31.55149203500112,85.71428571428571,31.06,-10.127,16.0018650437514
Tadjikistan,208,2017,8880268.0,5.042,767960.0,20217.35,24.282,1,0,2.950364,7157.8303049999995,5217000.0,168.75511,4.391759347803467,4.279150133757224,97.43589743589743,4.45,3.73,0.20269658528323695
Eswatini,209,2017,1124805.0,1.88,877825.0,22381.8,29.534,2,3,15.764387,4446.225564,3795000.0,174.21020983333335,7.112343917390126,1.7780859793475314,25.0,6.46,-3.438,5.3555949697947645
République-Unie de Tanzanie,215,2017,54660339.00000001,6.1720000000000015,874540.0,21819.7,15.624,1,0,7.2260979999999995,54724.041971000006,38850000.0,113.28643095596665,0.0731792021999717,0.03658960109998585,50.0,1.88,0.0,1.826388233706344
Togo,217,2017,7698474.0,5.125,886585.0,20921.8,16.05,1,0,3.224015,4631.639952,26800000.0,108.52242316666667,2.208229838796624,2.0783339659262343,94.11764705882352,7.06,4.13,4.518038250177892
Oman,221,2017,4665928.0,9.34,1069815.0,31076.1,49.565,2,0,12.29315,79276.747592,4817000.0,110.14964825,35.36274027374619,27.004274390860726,76.36363636363637,21.63,-3.952,1.3920060489574635
Ouganda,226,2017,41166587.99999999,7.694,782560.0,19107.75,20.783,1,0,7.019466,27208.082675,36419000.0,192.01187091666668,0.024291544395177958,5.003144182410275,53.86155269286495,1.52,2.013,1.6522865582156094
Burkina Faso,233,2017,19193234.0,5.978,992800.0,27787.45,14.37,1,0,10.508578,14169.989422999999,43064000.0,113.83415008333333,7.027751617848025,5.003144182410275,53.86155269286495,2.27,-7.724,2.504684723793812
Éthiopie,238,2017,106399924.0,5.518,840960.0,23962.250000000004,8.911,1,0,6.41253,76784.78438,59158000.0,267.19403825,0.0187970059076358,0.0093985029538179,50.0,0.13,8.333,0.6685061166021133
Yémen,249,2017,27834819.0,5.045,752995.0,19428.95,20.026,1,0,-2.386834,24152.03881,65000000.0,149.30127394021127,2.8022456334276864,2.8022456334276864,100.0,8.53,-4.265,6.1038298829965445
Zambie,251,2017,16853599.0,6.135,734745.0,21567.85,19.783,1,0,20.582404999999998,25868.138215,40371000.0,193.90583333333333,0.712014092657598,0.712014092657598,100.0,3.42,5.231,2.887869825311496
Soudan,276,2017,40813397.00000001,4.9110000000000005,888045.0,24776.2,31.128,2,0,38.306746999999994,124021.599914,48584000.0,149.30127394021127,0.07350527573090766,0.04900351715393844,66.66666666666666,1.6,2.564,1.6661195832339069
