Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","52","Azerbaïdjan","5611","Importations - Quantité","2943","Viande","2017","2017","Milliers de tonnes","42","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","52","Azerbaïdjan","5611","Importations - Quantité","2731","Viande de Bovins","2017","2017","Milliers de tonnes","10","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","52","Azerbaïdjan","5611","Importations - Quantité","2732","Viande d'Ovins/Caprins","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","52","Azerbaïdjan","5611","Importations - Quantité","2733","Viande de Suides","2017","2017","Milliers de tonnes","5","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","52","Azerbaïdjan","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","27","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","52","Azerbaïdjan","5611","Importations - Quantité","2735","Viande, Autre","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","12","Bahamas","5611","Importations - Quantité","2943","Viande","2017","2017","Milliers de tonnes","34","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","12","Bahamas","5611","Importations - Quantité","2731","Viande de Bovins","2017","2017","Milliers de tonnes","4","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","12","Bahamas","5611","Importations - Quantité","2732","Viande d'Ovins/Caprins","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","12","Bahamas","5611","Importations - Quantité","2733","Viande de Suides","2017","2017","Milliers de tonnes","6","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","12","Bahamas","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","24","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","12","Bahamas","5611","Importations - Quantité","2735","Viande, Autre","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","16","Bangladesh","5611","Importations - Quantité","2943","Viande","2017","2017","Milliers de tonnes","1","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","16","Bangladesh","5611","Importations - Quantité","2731","Viande de Bovins","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","16","Bangladesh","5611","Importations - Quantité","2732","Viande d'Ovins/Caprins","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","16","Bangladesh","5611","Importations - Quantité","2733","Viande de Suides","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","16","Bangladesh","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","16","Bangladesh","5611","Importations - Quantité","2735","Viande, Autre","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","14","Barbade","5611","Importations - Quantité","2943","Viande","2017","2017","Milliers de tonnes","10","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","14","Barbade","5611","Importations - Quantité","2731","Viande de Bovins","2017","2017","Milliers de tonnes","4","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","14","Barbade","5611","Importations - Quantité","2732","Viande d'Ovins/Caprins","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","14","Barbade","5611","Importations - Quantité","2733","Viande de Suides","2017","2017","Milliers de tonnes","3","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","14","Barbade","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","2","S","Données standardisées"
